Max Iterations,Feature Set,Learning Rate,Type Set,Total Error,MATCHES,MISMATCHES,TRUE POSITIVES,TRUE NEGATIVES,PREDICTED POSITIVES,PREDICTED NEGATIVES,ACTUAL POSITIVES,ACTUAL NEGATIVES,ACCURACY,PRECISION (POS),RECALL (POS),AVERAGE (POS),F-SCORE (POS),PRECISION (NEG),RECALL (NEG),AVERAGE (NEG),F-SCORE (NEG),PRECISION,RECALL,AVERAGE,F-SCORE
10,BIGRAMS,0.5,Training,975.3917646107994,4467,3526,1147,3320,1823,6170,3998,3995,0.2384195852619677,0.6291826659352715,0.2868934467233617,0.4580380563293166,0.3940903624806735,0.5380875202593193,0.8310387984981227,0.6845631593787209,0.6532218396458437,0.5588640060052545,0.5588640060052545,0.5588640060052545,0.5588640060052545
10,BIGRAMS,0.5,Test,337.3636510650914,1417,1248,732,685,1379,1286,1333,1332,0.28240168150145645,0.5308194343727338,0.5491372843210802,0.539978359346907,0.5398230088495576,0.5326594090202177,0.5142642642642643,0.523461836642241,0.5233002291825821,0.5317073170731708,0.5317073170731708,0.5317073170731708,0.5317073170731708
100,BIGRAMS,0.5,Training,152.10156650890457,7493,500,3997,3496,4497,3496,3998,3995,0.87487498442588,0.8888147653991549,0.9997498749374687,0.9442823201683118,0.9410241318422601,1.0,0.8750938673341677,0.9375469336670839,0.9333867307435589,0.9374452646065307,0.9374452646065307,0.9374452646065307,0.9374452646065308
100,BIGRAMS,0.5,Test,427.4942987595914,1653,1012,777,876,1233,1432,1333,1332,0.38334583645911485,0.6301703163017032,0.5828957239309828,0.606533020116343,0.6056118472330475,0.611731843575419,0.6576576576576577,0.6346947506165384,0.6338639652677279,0.6202626641651032,0.6202626641651032,0.6202626641651032,0.6202626641651032
1000,BIGRAMS,0.5,Training,20.876794068108325,7936,57,3997,3939,4054,3939,3998,3995,0.9857358591686332,0.9859398125308337,0.9997498749374687,0.9928448437341513,0.992796820665673,1.0,0.9859824780976221,0.992991239048811,0.9929417695991933,0.9928687601651445,0.9928687601651445,0.9928687601651445,0.9928687601651445
1000,BIGRAMS,0.5,Test,446.4872430889287,1644,1021,808,836,1304,1361,1333,1332,0.3804374517052686,0.6196319018404908,0.6061515378844711,0.6128917198624809,0.6128175957527493,0.6142542248346804,0.6276276276276276,0.620940926231154,0.6208689194207203,0.6168855534709193,0.6168855534709193,0.6168855534709193,0.6168855534709193
5000,BIGRAMS,0.5,Training,4.704640412759528,7980,13,3997,3983,4010,3983,3998,3995,0.9967468715584326,0.9967581047381546,0.9997498749374687,0.9982539898378117,0.9982517482517482,1.0,0.9969962453066333,0.9984981226533167,0.9984958636249687,0.9983735768797698,0.9983735768797698,0.9983735768797698,0.9983735768797698
5000,BIGRAMS,0.5,Test,427.1788094569745,1691,974,982,709,1605,1060,1333,1332,0.39212393188387185,0.6118380062305296,0.7366841710427607,0.6742610886366451,0.6684819605173589,0.6688679245283019,0.5322822822822822,0.6005751034052921,0.592809364548495,0.6345215759849906,0.6345215759849906,0.6345215759849906,0.6345215759849906
10,BIGRAMS,0.25,Training,1030.822580227026,3996,3997,0,3996,0,7993,3998,3995,0.0,0,0.0,0.0,0,0.49993744526460654,1.000250312891114,0.7500938790778603,0.6666666666666667,0.49993744526460654,0.49993744526460654,0.49993744526460654,0.49993744526460654
10,BIGRAMS,0.25,Test,340.4750277971882,1332,1333,0,1332,0,2665,1333,1332,0.0,0,0.0,0.0,0,0.499812382739212,1.0,0.749906191369606,0.6664998749061797,0.499812382739212,0.499812382739212,0.499812382739212,0.499812382739212
