
Max Iterations,Feature Set,Learning Rate,Type Set,MATCHES,MISMATCHES,TRUE POSITIVES,TRUE NEGATIVES,PREDICTED POSITIVES,PREDICTED NEGATIVES,ACTUAL POSITIVES,ACTUAL NEGATIVES,ACCURACY,PRECISION (POS),RECALL (POS),AVERAGE (POS),F-SCORE (POS),PRECISION (NEG),RECALL (NEG),AVERAGE (NEG),F-SCORE (NEG),PRECISION,RECALL,AVERAGE,F-SCORE
5000,UNIGRAMS,0.25,Training,7969,27,3983,3986,3995,4001,3998,3998,0.9932578845700989,0.9969962453066333,0.996248124062031,0.9966221846843322,0.9966220442887527,0.9962509372656836,0.9969984992496248,0.9966247182576542,0.996624578072259,0.996623311655828,0.996623311655828,0.996623311655828,0.996623311655828
5000,UNIGRAMS,0.25,Test,1944,722,929,1015,1247,1419,1333,1333,0.5306662374520862,0.7449879711307137,0.6969242310577645,0.7209561010942391,0.7201550387596899,0.715292459478506,0.7614403600900225,0.7383664097842642,0.7376453488372093,0.7291822955738935,0.7291822955738935,0.7291822955738935,0.7291822955738935
Max Iterations,Feature Set,Learning Rate,Type Set,MATCHES,MISMATCHES,TRUE POSITIVES,TRUE NEGATIVES,PREDICTED POSITIVES,PREDICTED NEGATIVES,ACTUAL POSITIVES,ACTUAL NEGATIVES,ACCURACY,PRECISION (POS),RECALL (POS),AVERAGE (POS),F-SCORE (POS),PRECISION (NEG),RECALL (NEG),AVERAGE (NEG),F-SCORE (NEG),PRECISION,RECALL,AVERAGE,F-SCORE
10,BIGRAMS,1,Training,5183,2810,1192,3991,1197,6796,3998,3995,0.2978505523099472,0.9958228905597326,0.29814907453726863,0.6469859825485006,0.4589027911453321,0.5872572101236021,0.9989987484355445,0.7931279792795733,0.7396904828097488,0.6484423870887026,0.6484423870887026,0.6484423870887026,0.6484423870887026
10,BIGRAMS,1,Test,1569,1096,588,981,939,1726,1333,1332,0.3248717584801606,0.6261980830670927,0.44111027756939236,0.5336541803182425,0.5176056338028169,0.5683661645422943,0.7364864864864865,0.6524263255143904,0.6415958142576847,0.5887429643527204,0.5887429643527204,0.5887429643527204,0.5887429643527204
Max Iterations,Feature Set,Learning Rate,Type Set,MATCHES,MISMATCHES,TRUE POSITIVES,TRUE NEGATIVES,PREDICTED POSITIVES,PREDICTED NEGATIVES,ACTUAL POSITIVES,ACTUAL NEGATIVES,ACCURACY,PRECISION (POS),RECALL (POS),AVERAGE (POS),F-SCORE (POS),PRECISION (NEG),RECALL (NEG),AVERAGE (NEG),F-SCORE (NEG),PRECISION,RECALL,AVERAGE,F-SCORE
100,BIGRAMS,1,Training,7717,276,3996,3721,4271,3722,3998,3995,0.9309483277308241,0.9356122687895106,0.9994997498749375,0.9675560093322241,0.9665013907364857,0.9997313272434175,0.9314142678347935,0.9655727975391055,0.9643643903071142,0.965469786062805,0.965469786062805,0.965469786062805,0.965469786062805
100,BIGRAMS,1,Test,1633,1032,826,807,1351,1314,1333,1332,0.37542155809222577,0.6113989637305699,0.6196549137284321,0.615526938729501,0.615499254843517,0.6141552511415526,0.6058558558558559,0.6100055534987042,0.6099773242630386,0.6127579737335835,0.6127579737335835,0.6127579737335835,0.6127579737335835
Max Iterations,Feature Set,Learning Rate,Type Set,MATCHES,MISMATCHES,TRUE POSITIVES,TRUE NEGATIVES,PREDICTED POSITIVES,PREDICTED NEGATIVES,ACTUAL POSITIVES,ACTUAL NEGATIVES,ACCURACY,PRECISION (POS),RECALL (POS),AVERAGE (POS),F-SCORE (POS),PRECISION (NEG),RECALL (NEG),AVERAGE (NEG),F-SCORE (NEG),PRECISION,RECALL,AVERAGE,F-SCORE
