Max Iterations,Feature Set,Learning Rate,Type Set,Total Error,MATCHES,MISMATCHES,TRUE POSITIVES,TRUE NEGATIVES,PREDICTED POSITIVES,PREDICTED NEGATIVES,ACTUAL POSITIVES,ACTUAL NEGATIVES,ACCURACY,PRECISION (POS),RECALL (POS),AVERAGE (POS),F-SCORE (POS),PRECISION (NEG),RECALL (NEG),AVERAGE (NEG),F-SCORE (NEG),PRECISION,RECALL,AVERAGE,F-SCORE
10,UNIGRAMS,1,Training,129.79490451582458,7701,295,3909,3792,4115,3881,3998,3998,0.9273601282882562,0.9499392466585662,0.9777388694347173,0.9638390580466418,0.9636386047084925,0.9770677660396805,0.9484742371185593,0.9627710015791199,0.9625587003426831,0.9631065532766383,0.9631065532766383,0.9631065532766383,0.9631065532766383
10,UNIGRAMS,1,Test,293.8725673662152,1961,705,1025,936,1422,1244,1333,1333,0.5399324324704582,0.7208157524613221,0.7689422355588897,0.7448789940101059,0.7441016333938294,0.752411575562701,0.7021755438859715,0.7272935597243362,0.7264260768335274,0.7355588897224306,0.7355588897224306,0.7355588897224306,0.7355588897224306
100,UNIGRAMS,1,Training,42.081166806220914,7912,84,3951,3961,3988,4008,3998,3998,0.9790982910164437,0.9907221664994985,0.9882441220610305,0.9894831442802645,0.9894815927873779,0.9882734530938124,0.9907453726863432,0.9895094128900779,0.9895078690981763,0.9894947473736868,0.9894947473736868,0.9894947473736868,0.9894947473736868
100,UNIGRAMS,1,Test,306.10754669289145,1972,694,935,1037,1231,1435,1333,1333,0.5456699883898206,0.7595450852965069,0.7014253563390848,0.7304852208177959,0.7293291731669266,0.7226480836236934,0.7779444861215303,0.7502962848726118,0.7492774566473989,0.7396849212303076,0.7396849212303076,0.7396849212303076,0.7396849212303077
1000,UNIGRAMS,1,Training,33.5038409445438,7929,67,3958,3971,3985,4011,3998,3998,0.983309188361064,0.9932245922208282,0.9899949974987494,0.9916097948597888,0.9916071652261055,0.9900274245823985,0.9932466233116558,0.9916370239470271,0.9916344112873018,0.9916208104052026,0.9916208104052026,0.9916208104052026,0.9916208104052026
1000,UNIGRAMS,1,Test,327.353050112387,1941,725,901,1040,1194,1472,1333,1333,0.5273486413613906,0.7546063651591289,0.6759189797449362,0.7152626724520326,0.7130985358132172,0.7065217391304348,0.7801950487621906,0.7433583939463126,0.7415329768270945,0.7280570142535634,0.7280570142535634,0.7280570142535634,0.7280570142535634
5000,UNIGRAMS,1,Training,25.50160419919992,7945,51,3963,3982,3979,4017,3998,3998,0.987278656837173,0.9959788891681327,0.9912456228114057,0.9936122559897692,0.9936066190297105,0.9912870301219816,0.9959979989994997,0.9936425145607406,0.9936369307548347,0.9936218109054528,0.9936218109054528,0.9936218109054528,0.9936218109054528
5000,UNIGRAMS,1,Test,317.54384554374684,1966,700,941,1025,1249,1417,1333,1333,0.5428166869174158,0.7534027221777422,0.705926481620405,0.7296646018990736,0.7288923315259489,0.7233592095977417,0.7689422355588897,0.7461507225783157,0.7454545454545455,0.7374343585896475,0.7374343585896475,0.7374343585896475,0.7374343585896475
10,UNIGRAMS,0.75,Training,177.31270106134426,7582,414,3865,3717,4146,3850,3998,3998,0.8987863741775841,0.932223830197781,0.9667333666833416,0.9494785984405614,0.9491650294695481,0.9654545454545455,0.9297148574287144,0.9475847014416299,0.9472477064220184,0.948224112056028,0.948224112056028,0.948224112056028,0.948224112056028
10,UNIGRAMS,0.75,Test,277.855448505531,1958,708,979,979,1333,1333,1333,1333,0.5393927251505298,0.7344336084021005,0.7344336084021005,0.7344336084021005,0.7344336084021004,0.7344336084021005,0.7344336084021005,0.7344336084021005,0.7344336084021004,0.7344336084021005,0.7344336084021005,0.7344336084021005,0.7344336084021004
100,UNIGRAMS,0.75,Training,38.60184709530084,7919,77,3952,3967,3983,4013,3998,3998,0.980829584376981,0.9922169219181521,0.9884942471235618,0.9903555845208569,0.9903520862047364,0.9885372539247446,0.9922461230615308,0.9903916884931376,0.9903882162027214,0.9903701850925463,0.9903701850925463,0.9903701850925463,0.9903701850925463
100,UNIGRAMS,0.75,Test,302.0646592028285,1981,685,952,1029,1256,1410,1333,1333,0.5513051181024814,0.7579617834394905,0.714178544636159,0.7360701640378248,0.7354190807261491,0.7297872340425532,0.7719429857464366,0.750865109894495,0.7502734232592052,0.7430607651912978,0.7430607651912978,0.7430607651912978,0.7430607651912978
1000,UNIGRAMS,0.75,Training,32.507879885137285,7931,65,3959,3972,3985,4011,3998,3998,0.9838053093580307,0.9934755332496863,0.9902451225612806,0.9918603279054834,0.9918576976074158,0.9902767389678384,0.9934967483741871,0.9918867436710128,0.9918841303533524,0.9918709354677339,0.9918709354677339,0.9918709354677339,0.9918709354677339
1000,UNIGRAMS,0.75,Test,307.0347731949782,1980,686,979,1001,1311,1355,1333,1333,0.5515139099853733,0.7467581998474447,0.7344336084021005,0.7405959041247726,0.7405446293494704,0.7387453874538745,0.7509377344336085,0.7448415609437415,0.7447916666666666,0.7426856714178545,0.7426856714178545,0.7426856714178545,0.7426856714178545
5000,UNIGRAMS,0.75,Training,25.00108936687943,7946,50,3974,3972,4000,3996,3998,3998,0.9875327859027062,0.9935,0.9939969984992496,0.9937484992496248,0.9937484371092773,0.993993993993994,0.9934967483741871,0.9937453711840906,0.9937453089817363,0.9937468734367184,0.9937468734367184,0.9937468734367184,0.9937468734367184
5000,UNIGRAMS,0.75,Test,317.2354904861261,1961,705,980,981,1332,1334,1333,1333,0.541046739554356,0.7357357357357357,0.7351837959489872,0.7354597658423614,0.7354596622889306,0.7353823088455772,0.735933983495874,0.7356581461707257,0.735658042744657,0.7355588897224306,0.7355588897224306,0.7355588897224306,0.7355588897224306
10,UNIGRAMS,0.5,Training,294.14294772453917,7170,826,3351,3819,3530,4466,3998,3998,0.8006422545940304,0.9492917847025496,0.8381690845422711,0.8937304346224104,0.8902763018065887,0.8551276309896999,0.9552276138069035,0.9051776223983017,0.9024102079395085,0.8966983491745872,0.8966983491745872,0.8966983491745872,0.8966983491745872
10,UNIGRAMS,0.5,Test,265.3091818624356,1956,710,839,1117,1055,1611,1333,1333,0.5274178634681176,0.795260663507109,0.6294073518379595,0.7123340076725342,0.7026800670016751,0.6933581626319056,0.8379594898724682,0.7656588262521868,0.7588315217391305,0.7336834208552138,0.7336834208552138,0.7336834208552138,0.7336834208552138
100,UNIGRAMS,0.5,Training,28.784761491288926,7937,59,3968,3969,3997,3999,3998,3998,0.9852970507264638,0.9927445584188141,0.992496248124062,0.9926204032714381,0.992620387742339,0.9924981245311327,0.9927463731865933,0.992622248858863,0.9926222333375017,0.9926213106553277,0.9926213106553277,0.9926213106553277,0.9926213106553277
100,UNIGRAMS,0.5,Test,304.5354954067604,1976,690,1000,976,1357,1309,1333,1333,0.5492746029718233,0.7369196757553427,0.7501875468867217,0.7435536113210321,0.7434944237918216,0.745607333842628,0.7321830457614403,0.7388951898020342,0.7388342165026495,0.741185296324081,0.741185296324081,0.741185296324081,0.741185296324081
1000,UNIGRAMS,0.5,Training,24.011656480921744,7948,48,3967,3981,3984,4012,3998,3998,0.9880269674607189,0.9957329317269076,0.9922461230615308,0.9939895273942192,0.9939864695565022,0.9922731804586241,0.9957478739369685,0.9940105271977964,0.9940074906367041,0.9939969984992496,0.9939969984992496,0.9939969984992496,0.9939969984992496
1000,UNIGRAMS,0.5,Test,319.29824743507373,1969,697,1001,968,1366,1300,1333,1333,0.5453171244799198,0.732796486090776,0.7509377344336085,0.7418671102621922,0.7417562060022231,0.7446153846153846,0.7261815453863466,0.7353984650008656,0.7352829472085074,0.7385596399099775,0.7385596399099775,0.7385596399099775,0.7385596399099775
5000,UNIGRAMS,0.5,Training,13.001797563209264,7970,26,3979,3991,3986,4010,3998,3998,0.9935050691929256,0.9982438534872052,0.9952476238119059,0.9967457386495555,0.996743486973948,0.9952618453865336,0.9982491245622811,0.9967554849744074,0.9967532467532467,0.9967483741870935,0.9967483741870935,0.9967483741870935,0.9967483741870935
5000,UNIGRAMS,0.5,Test,322.8140861512153,1951,715,991,960,1364,1302,1333,1333,0.5354076703722067,0.7265395894428153,0.7434358589647412,0.7349877242037782,0.7348906192065259,0.7373271889400922,0.7201800450112528,0.7287536169756725,0.7286527514231499,0.731807951987997,0.731807951987997,0.731807951987997,0.7318079519879971
10,UNIGRAMS,0.25,Training,1038.8481931238543,4301,3695,365,3936,427,7569,3998,3998,0.08987985738742307,0.8548009367681498,0.09129564782391196,0.4730482922960309,0.16497175141242937,0.5200158541418946,0.9844922461230615,0.752254050132478,0.680556756289444,0.5378939469734867,0.5378939469734867,0.5378939469734867,0.5378939469734867
10,UNIGRAMS,0.25,Test,352.8167084243025,1406,1260,108,1298,143,2523,1333,1333,0.07889294153996113,0.7552447552447552,0.08102025506376594,0.4181325051542606,0.14634146341463414,0.5144669044787951,0.9737434358589647,0.7441051701688799,0.6732365145228215,0.5273818454613654,0.5273818454613654,0.5273818454613654,0.5273818454613654
100,UNIGRAMS,0.25,Training,29.598024518491926,7931,65,3968,3963,4003,3993,3998,3998,0.9838075616097193,0.9912565575818136,0.992496248124062,0.9918764028529379,0.9918760154980627,0.9924868519909842,0.9912456228114057,0.991866237401195,0.9918658490802152,0.9918709354677339,0.9918709354677339,0.9918709354677339,0.9918709354677339
100,UNIGRAMS,0.25,Test,303.59576243963477,1980,686,989,991,1331,1335,1333,1333,0.5515814437480338,0.7430503380916604,0.7419354838709677,0.7424929109813141,0.7424924924924926,0.7423220973782771,0.7434358589647412,0.7428789781715092,0.7428785607196402,0.7426856714178545,0.7426856714178545,0.7426856714178545,0.7426856714178545
1000,UNIGRAMS,0.25,Training,21.523189475023898,7953,43,3967,3986,3979,4017,3998,3998,0.9892678955786047,0.9969841668760995,0.9922461230615308,0.9946151449688152,0.9946095023191676,0.9922827981080409,0.9969984992496248,0.9946406486788328,0.9946350592638802,0.9946223111555778,0.9946223111555778,0.9946223111555778,0.9946223111555778
1000,UNIGRAMS,0.25,Test,304.5221901257165,1968,698,947,1021,1259,1407,1333,1333,0.5441459764791161,0.7521842732327244,0.7104276069017255,0.7313059400672249,0.73070987654321,0.7256574271499645,0.7659414853713429,0.7457994562606537,0.7452554744525547,0.7381845461365342,0.7381845461365342,0.7381845461365342,0.7381845461365342
