Max Iterations,Feature Set,Learning Rate,Type Set,MATCHES,MISMATCHES,TRUE POSITIVES,TRUE NEGATIVES,PREDICTED POSITIVES,PREDICTED NEGATIVES,ACTUAL POSITIVES,ACTUAL NEGATIVES,ACCURACY,PRECISION (POS),RECALL (POS),AVERAGE (POS),F-SCORE (POS),PRECISION (NEG),RECALL (NEG),AVERAGE (NEG),F-SCORE (NEG),PRECISION,RECALL,AVERAGE,F-SCORE
10,UNI+BI-GRAMS,1,Training,6680,1316,2796,3884,2910,5086,3998,3998,0.6794082383863268,0.9608247422680413,0.6993496748374187,0.83008720855273,0.8094962362478286,0.7636649626425481,0.9714857428714357,0.8675753527569919,0.8551298987230295,0.8354177088544272,0.8354177088544272,0.8354177088544272,0.8354177088544271
10,UNI+BI-GRAMS,1,Test,1645,1021,405,1240,498,2168,1333,1333,0.28262879673406727,0.8132530120481928,0.3038259564891223,0.5585394842686575,0.44238121245221196,0.5719557195571956,0.9302325581395349,0.7510941388483652,0.7083690374178806,0.6170292573143286,0.6170292573143286,0.6170292573143286,0.6170292573143286
100,UNI+BI-GRAMS,1,Training,7928,68,3949,3979,3968,4028,3998,3998,0.9830497414790437,0.9952116935483871,0.987743871935968,0.9914777827421776,0.9914637208134572,0.9878351539225422,0.9952476238119059,0.991541388867224,0.9915275355095938,0.991495747873937,0.991495747873937,0.991495747873937,0.991495747873937
100,UNI+BI-GRAMS,1,Test,1626,1040,354,1272,415,2251,1333,1333,0.2534136910071479,0.8530120481927711,0.26556639159789946,0.5592892198953353,0.40503432494279173,0.5650821856952466,0.95423855963991,0.7596603726675784,0.7098214285714285,0.6099024756189048,0.6099024756189048,0.6099024756189048,0.6099024756189048
1000,UNI+BI-GRAMS,1,Training,7963,33,3975,3988,3985,4011,3998,3998,0.9917602623222567,0.9974905897114178,0.9942471235617809,0.9958688566365994,0.9958662157083803,0.9942657691348791,0.9974987493746873,0.9958822592547831,0.9958796354101636,0.9958729364682342,0.9958729364682342,0.9958729364682342,0.9958729364682342
1000,UNI+BI-GRAMS,1,Test,1711,955,1095,616,1812,854,1333,1333,0.37960727991450227,0.6043046357615894,0.8214553638409603,0.7128799998012749,0.6963434022257552,0.7213114754098361,0.46211552888222057,0.5917135021460284,0.5633287608596251,0.6417854463615904,0.6417854463615904,0.6417854463615904,0.6417854463615904
1000,3-GRAMS,1,Training,7853,115,3874,3979,3874,4094,3998,3970,0.9711811825308121,1.0,0.968984492246123,0.9844922461230615,0.9842479674796748,0.9719101123595506,1.0022670025188918,0.9870885574392212,0.9868551587301588,0.9855672690763052,0.9855672690763052,0.9855672690763052,0.9855672690763052
1000,3-GRAMS,1,Test,1411,1248,288,1123,492,2167,1333,1326,0.18297787116462372,0.5853658536585366,0.21605401350337583,0.4007099335809562,0.3156164383561644,0.5182279649284726,0.8469079939668175,0.682567979447645,0.6430002862868595,0.5306506205340353,0.5306506205340353,0.5306506205340353,0.5306506205340353
10,3-GRAMS,0.75,Training,4354,3614,377,3977,379,7589,3998,3970,0.09446341558688663,0.9947229551451188,0.09429714857428714,0.5445100518597029,0.17226410783641763,0.5240479641586506,1.00176322418136,0.7629055941700054,0.6881218098451422,0.5464357429718876,0.5464357429718876,0.5464357429718876,0.5464357429718876
10,3-GRAMS,0.75,Test,1329,1330,107,1222,212,2447,1333,1326,0.0739743759469279,0.5047169811320755,0.08027006751687922,0.2924935243244774,0.13851132686084142,0.4993870044953004,0.9215686274509803,0.7104778159731404,0.6477604028624436,0.49981195938322676,0.49981195938322676,0.49981195938322676,0.49981195938322676
