Max Iterations,Feature Set,Learning Rate,Type Set,MATCHES,MISMATCHES,TRUE POSITIVES,TRUE NEGATIVES,PREDICTED POSITIVES,PREDICTED NEGATIVES,ACTUAL POSITIVES,ACTUAL NEGATIVES,ACCURACY,PRECISION (POS),RECALL (POS),AVERAGE (POS),F-SCORE (POS),PRECISION (NEG),RECALL (NEG),AVERAGE (NEG),F-SCORE (NEG),PRECISION,RECALL,AVERAGE,F-SCORE
5000,BIGRAMS,1,Training,7986,7,3997,3989,4004,3989,3998,3995,0.9982483732479506,0.9982517482517482,0.9997498749374687,0.9990008115946085,0.9990002499375156,1.0,0.9984981226533166,0.9992490613266582,0.999248496993988,0.9991242337044914,0.9991242337044914,0.9991242337044914,0.9991242337044914
5000,BIGRAMS,1,Test,1670,995,930,740,1522,1143,1333,1332,0.3875968992248062,0.6110381077529566,0.6976744186046512,0.6543562631788039,0.6514886164623468,0.647419072615923,0.5555555555555556,0.6014873140857393,0.597979797979798,0.626641651031895,0.626641651031895,0.626641651031895,0.626641651031895
5000,BIGRAMS,0.75,Training,7980,13,3985,3995,3986,4007,3998,3995,0.9967483741870935,0.9997491219267436,0.9967483741870935,0.9982487480569185,0.9982464929859719,0.99700524082855,1.0,0.9985026204142751,0.9985003749062734,0.9983735768797698,0.9983735768797698,0.9983735768797698,0.9983735768797698
5000,BIGRAMS,0.75,Test,1689,976,764,925,1171,1494,1333,1332,0.398016170709344,0.6524338172502135,0.5731432858214554,0.6127885515358344,0.610223642172524,0.6191432396251674,0.6944444444444444,0.6567938420348058,0.6546355272469923,0.6337711069418387,0.6337711069418387,0.6337711069418387,0.6337711069418387
5000,BIGRAMS,0.5,Training,7979,14,3997,3982,4011,3982,3998,3995,0.9964966212768462,0.9965095986038395,0.9997498749374687,0.9981297367706541,0.9981271070046198,1.0,0.9967459324155195,0.9983729662077597,0.9983703146546321,0.9982484674089829,0.9982484674089829,0.9982484674089829,0.9982484674089829
5000,BIGRAMS,0.5,Test,1675,990,956,719,1569,1096,1333,1332,0.38712606079447787,0.6093052899936265,0.7171792948237059,0.6632422924086663,0.6588559614059268,0.656021897810219,0.5397897897897898,0.5979058438000044,0.5922570016474463,0.6285178236397748,0.6285178236397748,0.6285178236397748,0.6285178236397748
5000,BIGRAMS,0.25,Training,7966,27,3997,3969,4024,3969,3998,3995,0.9932433676162236,0.9932902584493042,0.9997498749374687,0.9965200666933864,0.9965095986038394,1.0,0.9934918648310388,0.9967459324155195,0.996735308890005,0.9966220442887527,0.9966220442887527,0.9966220442887527,0.9966220442887527
5000,BIGRAMS,0.25,Test,1665,1000,817,848,1301,1364,1333,1332,0.3901966482611644,0.627978478093774,0.6129032258064516,0.6204408519501128,0.6203492786636295,0.6217008797653959,0.6366366366366366,0.6291687582010163,0.629080118694362,0.624765478424015,0.624765478424015,0.624765478424015,0.624765478424015
5000,UNI+BI-GRAMS,1,Training,7965,31,3973,3992,3979,4017,3998,3998,0.9922555074435667,0.9984920834380497,0.9937468734367184,0.9961194784373841,0.9961138272533534,0.9937764500871297,0.9984992496248124,0.996137849855971,0.9961322520274486,0.9961230615307654,0.9961230615307654,0.9961230615307654,0.9961230615307654
5000,UNI+BI-GRAMS,1,Test,1824,842,1116,708,1741,925,1333,1333,0.4446693068615991,0.6410109132682367,0.8372093023255814,0.7391101077969091,0.7260897852960312,0.7654054054054054,0.5311327831957989,0.6482690943006022,0.6271036315323294,0.6841710427606902,0.6841710427606902,0.6841710427606902,0.6841710427606902
